title,genre
Harry Potter and the Half-Blood Prince,Adventure
Fruitvale Station,Biography
In the Bedroom,Crime
Source Code,Mystery
Biutiful,Drama
From Russia with Love,Action
Calvary,Drama
The Mission,Adventure
In the Loop,Comedy
The Three Burials of Melquiades Estrada,Adventure
Babel,Drama
Frenzy,Thriller
Heavenly Creatures,Biography
Sweeney Todd: The Demon Barber of Fleet Street,Drama
Dracula,Horror
Looper,Action
The Proposition,Crime
Bullitt,Action
Harry Potter and the Sorcerer's Stone,Adventure
2046,Drama
Transamerica,Adventure
Smoke,Comedy
Suspiria,Horror
The Judge,Drama
Bad Education,Crime
Up in the Air,Drama
Begin Again,Drama
Running Scared,Action
Ghost World,Comedy
Witness,Crime
Trading Places,Comedy
Mud,Drama
Across the Universe,Drama
Les Miserables,Crime
Notes on a Scandal,Drama
Inside Llewyn Davis,Drama
Brick,Crime
Clerks II,Comedy
Say Anything...,Comedy
Man on the Moon,Biography
Mean Streets,Crime
Harry Potter and the Order of the Phoenix,Adventure
Beetlejuice,Comedy
"Crazy, Stupid, Love.",Comedy
Excalibur,Adventure
True Grit,Adventure
Labyrinth,Adventure
Alice in Wonderland,Animation
Predestination,Drama
Much Ado About Nothing,Comedy
A Bridge Too Far,Drama
Raising Arizona,Comedy
The Bucket List,Adventure
Terms of Endearment,Comedy
Take Shelter,Drama
Far from Heaven,Drama
Eraserhead,Drama
Frances Ha,Comedy
Home Alone,Comedy
Bound,Crime
Sleepy Hollow,Drama
Pirate Radio,Comedy
The NeverEnding Story,Adventure
X-Men,Action
Zero Dark Thirty,Drama
Manhattan Murder Mystery,Comedy
National Lampoon's Vacation,Comedy
My Sister's Keeper,Drama
Deconstructing Harry,Comedy
The Way Way Back,Comedy
Capote,Biography
Driving Miss Daisy,Comedy
La Femme Nikita,Action
Lincoln,Biography
Limitless,Mystery
The Simpsons Movie,Animation
The Rock,Action
The English Patient,Drama
Law Abiding Citizen,Crime
Wonder Boys,Drama
Death at a Funeral,Comedy
Blue Valentine,Drama
The Cider House Rules,Drama
Tootsie,Comedy
Back to the Future Part III,Adventure
Master and Commander: The Far Side of the World,Action
Poltergeist,Horror
Wall Street,Crime
